Name,Elevation (m),lat,lon
Unknown,2328,47.3217691,10.3351478
Unknown,2385,47.32032,10.33937
Hielesköpfle,2248,47.3399245,10.3525988
Unknown,2017,47.37005,10.34466
Gieseler Wand,2020,47.3729,10.34246
Kleine Höfats,2073,47.36807,10.35452
Wildengundkopf,2197,47.2881364,10.1835715
Angererkopf,2263,47.2939,10.18548
Haldenwanger Kopf,2002,47.27507,10.17348
Rossgundkopf,2139,47.31946,10.23356
Alpgundkopf,2177,47.32221,10.23758
Grießgundkopf,2164,47.3236352,10.239598
Rossgundturm,2066,47.31674,10.23614
Kälbelespitze,2135,47.4316,10.47539
Wiedemerkopf,2163,47.39012,10.41699
Kammerlinghorn,2483,47.5450497,12.8327097
Schönangerspitze,2264,47.4421375,11.011646
Schneck,2268,47.3859171,10.382386
Himmeleck,2152,47.3824903,10.3839399
Schneck-Vorgipfel,2258,47.38483,10.38171
Seebichel,2111,47.2879221,10.2524866
Laufbacher Eck,2178,47.3935621,10.380816
Krummer Turm,2477,47.3199166,10.3432506
Gundkopf,2063,47.4193665,10.333058
Unknown,2023,47.41602,10.3513
Kleiner Seekopf,2096,47.40143,10.35639
Großer Seekopf,2085,47.40582,10.35473
Lachenkopf,2111,47.39483,10.37171
Balken,2172,47.38883,10.43009
Südliche Balkenspitze,2324,47.38555,10.4313394
Obere Gottesackerwände,2033,47.37617,10.11713
Pfannenhölzer,2029,47.44727,10.39847
Älpelekopf,2024,47.439,10.4549
Schänzlekopf,2070,47.4181469,10.4534522
Sattelkopf,2097,47.41355,10.43845
Kirchturm,2013,47.4360105,10.4739205
Salober,2088,47.39785,10.38808
Bergächtle,2007,47.40753,10.39445
Laufbichelkirche Südgipfel,2029,47.43185,10.38557
Heubatspitze,2008,47.4589308,10.3810226
Unknown,2150,47.4322302,10.3677778
Großer Wilder Nordgipfel,2370,47.37172,10.38791
Hinterer Wilder,2359,47.36719,10.38915
Westliche Törlspitze,2427,47.4126395,11.1301239
Wildengundkopf,2238,47.31284,10.29192
Blaueisspitze,2481,47.5720037,12.8694054
Steinberg,2065,47.585734,12.8776064
Kleinkalter,2513,47.5727411,12.8624286
Wimbachschneidspitze,2368,47.5461712,12.847869
Ofentalhörnl,2513,47.5625765,12.8614196
Schärtenwandkopf,2065,47.5841081,12.8613061
Schönwandeck,2450,47.5642609,12.8677725
Rotpalfen,2367,47.5786336,12.8621648
Hocheishörndl,2252,47.5546387,12.8316752
Eislhörndl,2095,47.5583201,12.8357131
Vorderberghörndl,2083,47.558802,12.8284226
Hinterberghorn,2493,47.5509169,12.8391498
Kleines Palfenhorn,2073,47.5323307,12.8706562
1. Watzmannkind,2247,47.5537381,12.9378171
3. Watzmannkind,2209,47.5519243,12.9339669
4. Watzmannkind,2270,47.5527479,12.9328971
5. Watzmannkind,2225,47.5526978,12.9309994
Reinersberg,2171,47.5570403,13.048298
Hochsäul,2073,47.514663,13.0275981
Windschartenkopf,2211,47.5502715,13.0446421
Schloßkopf,2139,47.4812326,13.0243806
Krottenkopf Ostgipfel,2008,47.5445909,11.1992896
Lahnerkopf,2121,47.4291531,10.4628248
Unknown,2119,47.3959029,10.3851082
Bramasofenkopf,2147,47.5051969,13.041245
Hüttenkopf,2208,47.295291,10.192541
Vordere Schlichtenkarspitze,2356,47.4475351,11.3987822
Mittlere Linderspitze,2239,47.4254602,11.290907
Gerberkreuz,2303,47.4270819,11.2870608
Schafreuter,2102,47.509013,11.4876
Zwölferkopf,2226,47.4464989,11.02611
Schochen,2100,47.3941679,10.3605812
Rotkopf Südgipfel,2183,47.3896684,10.3814937
Rotkopf,2194,47.39102,10.38124
Rotkopf Nordgipfel,2188,47.3920853,10.3813528
Unknown,2011,47.4019374,10.3898753
Sulzleklammspitze,2321,47.4186732,11.2926087
Bergl,2272,47.4238952,11.0052221
Großer Kirchturm,2514,47.4165238,11.0306086
Hochblassen,2706,47.4223964,11.0444402
Hoher Gaif,2288,47.4223324,11.0633797
Rotwandlspitze,2192,47.4066196,11.2882158
Hochwanner,2744,47.3959556,11.0553604
Gumpenkarspitze,2010,47.4920061,11.3610059
Soiernschneid,2174,47.4816121,11.3424194
Krapfenkarspitze,2110,47.4935477,11.3690903
Großes Mühlsturzhorn,2234,47.59058,12.7978323
Kleines Mühlsturzhorn,2141,47.5913873,12.8015976
Knittelhorn,2015,47.5952828,12.8098121
Großes Grundübelhorn,2096,47.5925701,12.8060459
Kleines Grundübelhorn,2084,47.5937287,12.8082407
Höllentorkopf,2150,47.4381568,11.047341
Riffelköpfe,2389,47.4296521,11.0001335
Kleines Teufelshorn,2283,47.4868317,13.0315637
Vorderer Kragenkopf,2173,47.5205032,13.0460473
Hocheisspitze,2523,47.5468447,12.84264
Funtenseetauern,2578,47.4850145,12.9767787
Großes Teufelshorn,2362,47.4891572,13.0362619
Scharnitzspitze,2461,47.3957891,11.1118219
Kareck,2046,47.54834,11.1798299
Öfnerspitze,2576,47.3175062,10.3487798
Gamskarköpfl,2031,47.5089561,12.9205349
Ofentalhörndl,2513,47.5625765,12.8614196
Karlkopf,2195,47.5460878,12.8221541
Steinberg,2026,47.5873106,12.8762366
Oberreintalturm,2014,47.4028245,11.104952
2. Watzmannkind,2232,47.5531398,12.9353854
Lablkopf,2015,47.5542784,12.9433972
Hoher Göll,2522,47.5939262,13.0671406
Stadelhorn,2286,47.5931666,12.7953337
Ledererkopf,2050,47.485745,12.9610979
"Partenkirchner Dreitorspitze, Mittelgipfel",2622,47.4081217,11.1239416
"Partenkirchner Dreitorspitze, Nordostgipfel",2626,47.4091248,11.1256736
Östliche Törlspitze,2444,47.4127386,11.1353612
Höfats Ostgipfel,2258,47.3661458,10.350553
Kirchl,2050,47.44741,10.39354
Pflughörndl,2047,47.596405,13.0527859
Frauenalplspitz,2369,47.4150815,11.1280779
Frauenalplkopf,2351,47.4166877,11.1277051
Signalkuppe,2486,47.410641,11.1264927
Bayerländerturm,2507,47.4099632,11.1265424
Schossenkopf,2106,47.5176763,13.0353451
Grauer Kopf,2054,47.5173821,13.0289044
Kopf des Hunds,2012,47.5737113,12.8755931
Hocheiskopf,2495,47.5455209,12.8384593
Kleiner Kirchturm,2368,47.414342,11.0308341
Unknown,2053,47.3433,10.34615
Jungfernkarkopf,2355,47.4017931,11.0724993
Falkenberg,2003,47.36145,10.35144
Höfats Mittelgipfel,2257,47.3664,10.35014
Feldernkreuz,2048,47.491995,11.3287726
Hohes Brett,2340,47.5843857,13.0496897
Unknown,2028,47.3127055,10.2277155
Toreck,2016,47.37649,10.12894
Reißende Lahnspitz,2209,47.4802879,11.3443547
Drei Scharten,2304,47.4177816,11.1484033
Sattelköpfle,2021,47.413656,10.434995
Kleiner Hundsstallkopf,2338,47.4023869,11.0830808
Hirschbichlkopf,2276,47.4172061,11.140303
Untere Wettersteinspitze,2151,47.4280299,11.1991612
Predigtstuhl,2004,47.6049327,12.8099509
Teufelskopf,2440,47.3943412,11.1002872
Kirchlespitze,2301,47.4155275,11.2928413
Laufbichelkirche,2042,47.43336,10.38439
Auf dem Falken,2088,47.445047,10.3909421
Schafberg,2264,47.32632,10.32892
Unknown,2052,47.5095729,10.9161796
Schänzlespitz,2052,47.4232331,10.4563733
Unknown,2176,47.4446673,10.3837599
Mittlere Balkenspitze,2315,47.386593,10.431625
Unknown,2159,47.421947,10.3365255
Unknown,2014,47.4355581,10.3305883
Unknown,2218,47.4383,10.37675
Unknown,2150,47.4344466,10.3697301
Unknown,2127,47.42934,10.36425
Unknown,2184,47.4255468,10.3597292
Unknown,2177,47.4247193,10.3580422
Unknown,2186,47.4247239,10.3551373
Unknown,2194,47.4241676,10.3533429
Unknown,2214,47.4222228,10.3450068
